bio,Балл
№ 1004320,78
№ 1004682,98
№ 1005794,18
№ 1007021,84
№ 1010384,8
№ 1011567,95
№ 1011636,28
№ 1014475,89
№ 1016795,77
№ 1017275,68
№ 1021372,85
№ 1021967,13
№ 1022841,7
№ 1029707,25
№ 1029933,92
№ 1030725,61
№ 1036115,20
№ 1039645,0
№ 1043240,48
№ 1047476,0
№ 1053456,80
№ 1056663,12
№ 1056701,0
№ 1057497,73
№ 1061601,0
№ 1062095,73
№ 1062658,40
№ 1065380,0
№ 1069279,26
№ 1070928,49
№ 1073578,3
№ 1076050,31
№ 1077206,8
№ 1078857,21
№ 1079183,70
№ 1082172,68
№ 1083317,79
№ 1084502,0
№ 1086105,69
№ 1087309,39
№ 1088063,16
№ 1088379,0
№ 1088527,71
№ 1089087,16
№ 1090010,14
№ 1090273,15
№ 1090954,0
№ 1090967,15
№ 1091821,72
№ 1091843,33
№ 1092481,87
№ 1092493,0
№ 1093626,15
№ 1096071,55
№ 1098187,3
№ 1099580,24
№ 1100159,14
№ 1100706,58
№ 1100803,0
№ 1100919,0
№ 1100973,0
